Player Name,Passing Yards,Passing TDs,Rushing Yards,Receiving Yards,Receptions,Rush/Rec TD,Points
Adam Thielen,0,0,0,72.5,5.22,0.45,15.17
Adrian Peterson,0,0,49.5,8.5,0,0.38,8.08
Allen Robinson II,0,0,0,69.26,4.41,0.42,13.86
Alvin Kamara,0,0,58.5,57.87,7.57,0.66,23.17
Amari Cooper,0,0,0,81.5,6.16,0.44,16.95
Antonio Gibson,0,0,37.5,0,0,0.28,5.43
Austin Ekeler,0,0,49.5,0,0,0.31,6.81
Baker Mayfield,270.5,1.63,0,0,0,0.1,21.2
Brandin Cooks,0,0,0,56.5,4.14,0.24,11.23
Cam Newton,249.5,0,0,0,0,0.42,12.5
CeeDee Lamb,0,0,0,61.5,4.03,0.37,12.4
Chad Beebe,0,0,0,17.5,0,0.07,2.17
Clyde Edwards-Helaire,0,0,72.5,26.5,3.76,0.6,17.26
Cooper Kupp,0,0,0,60.5,4.93,0.44,13.62
Curtis Samuel,0,0,0,37.5,3.98,0.23,9.11
D'Andre Swift,0,0,0,15.5,2.64,0.19,5.33
D.J. Moore,0,0,0,64.5,4.76,0.32,13.13
D.K. Metcalf,0,0,0,70.5,5.32,0.53,15.55
Dak Prescott,320.5,2.13,18.5,0,0,0.29,29.19
Dalton Schultz,0,0,0,34.5,3.5,0.25,8.45
Dalvin Cook,0,0,82.78,0,2.58,0.64,14.7
Daniel Jones,249.5,1.17,18.5,0,0,0.09,19.39
Danny Amendola,0,0,0,36.5,3.28,0.17,7.95
Darius Slayton,0,0,0,50.5,3.9,0.22,10.27
Darrell Henderson,0,0,67.5,15.5,0,0.64,12.14
Darren Fells,0,0,0,16.5,0,0.24,3.09
Darren Waller,0,0,0,56.5,5.91,0.45,14.26
David Johnson,0,0,61.47,0,2.68,0.6,12.43
David Montgomery,0,0,62.5,0,2.56,0.37,11.03
DeVante Parker,0,0,0,62.5,3.59,0.34,11.88
Derek Carr,275.5,1.78,0,0,0,0.09,22.24
Deshaun Watson,295.5,2.03,22.5,0,0,0.35,28.35
Devin Singletary,0,0,59.5,17.5,2.9,0.5,13.6
Devonta Freeman,0,0,36.5,0,0,0.23,5.03
Drew Brees,285.5,1.99,0,0,0,0.07,23.78
Dwayne Haskins,220.5,0.98,0,0,0,0.07,15.12
Evan Engram,0,0,0,42.5,4.9,0.22,10.47
Ezekiel Elliott,0,0,85.5,31.5,3.61,0.71,19.57
Gardner Minshew,267.5,0,20.5,0,0,0.11,13.41
Gerald Everett,0,0,0,13.5,0,0.1,1.95
Golden Tate,0,0,0,47.5,3.15,0.22,9.22
Gus Edwards,0,0,40.5,0,0,0.21,5.31
Hunter Renfrow,0,0,0,60.5,5.64,0.28,13.37
Irv Smith Jr.,0,0,0,20.5,0,0.14,2.89
Isaiah Ford,0,0,0,37.5,4.27,0.21,9.28
James Robinson,0,0,61.5,16.5,2.91,0.54,13.95
Jared Goff,267.5,0,0,0,0,0.15,11.6
Jarvis Landry,0,0,0,56.5,3.76,0.33,11.39
Jimmy Graham,0,0,0,29.5,2.56,0.29,7.25
Joe Burrow,0,0,21.5,0,0,0.22,3.47
Joe Mixon,0,0,70.85,0,2.24,0.6,12.93
Jonathan Taylor,0,0,79.5,16.5,2.99,0.54,15.83
Jordan Akins,0,0,0,28.5,3.16,0.24,7.45
Josh Allen,279.5,1.84,39.5,0,0,0.43,28.75
Josh Jacobs,0,0,72.5,18.5,2.15,0.66,15.21
Justin Herbert,227.5,1.34,0,0,0,0.09,17.68
Justin Jefferson,0,0,0,48.5,0,0.33,6.83
Kenny Golladay,0,0,0,63.5,3.75,0.49,13.04
Kerryon Johnson,0,0,17.5,0,0,0.22,3.07
Kirk Cousins,264.5,1.79,0,0,0,0.11,21.98
Kyle Rudolph,0,0,0,21.5,2.91,0.17,6.08
Kyler Murray,277.5,1.9,0,0,0,0.39,24.84
Lamar Jackson,215.5,1.5,65.5,0,0,0.43,26.75
Latavius Murray,0,0,36.5,8.5,0,0.29,6.24
Laviska Shenault Jr.,0,0,0,34.5,0,0.22,4.77
Mark Andrews,0,0,0,49.93,4.0,0.45,11.69
Mark Ingram,0,0,54.3,0,0,0.42,7.95
Marquise Brown,0,0,0,42.5,2.98,0.42,9.75
Marvin Jones,0,0,0,48.5,3.81,0.42,11.18
Matthew Stafford,280.5,1.68,0,0,0,0.04,21.54
Michael Gallup,0,0,0,57.5,4.38,0.29,11.87
Mike Davis,0,0,51.5,42.5,5.3,0.64,18.54
Mike Gesicki,0,0,0,45.5,3.5,0.35,10.15
Miles Boykin,0,0,0,22.5,0,0.18,3.33
Myles Gaskin,0,0,46.47,24.5,2.69,0.45,12.49
Nelson Agholor,0,0,0,40.5,2.79,0.21,8.1
Nick Boyle,0,0,0,13.5,0,0.18,2.43
Nick Foles,230.5,0,0,0,0,0.04,9.46
O.J. Howard,0,0,0,25.5,0,0.26,4.11
Odell Beckham Jr,0,0,0,65.5,4.07,0.41,13.08
Patrick Mahomes,292.5,1.22,19.5,0,0,0.17,21.99
